0.745455,0.927273,0.191621,1.34145,['19.0/27', '59.0/61', '0.0/11', '4.0/7', '0.0/4']
0.627273,0.827273,0.231543,1.42913,['16.0/25', '46.0/57', '0.0/15', '3.0/8', '4.0/5']
0.727273,0.963636,0.209015,1.34328,['25.0/35', '51.0/54', '0.0/12', '4.0/6', '0.0/3']
0.654545,0.927273,0.208494,1.3587,['21.0/25', '46.0/52', '0.0/23', '4.0/8', '1.0/2']
0.663636,0.9,0.212104,1.40841,['17.0/25', '53.0/67', '0.0/11', '2.0/6', '1.0/1']
0.727273,0.936364,0.201705,1.36407,['23.0/31', '51.0/55', '0.0/16', '1.0/3', '5.0/5']
0.718182,0.909091,0.195174,1.35452,['18.0/23', '54.0/59', '0.0/16', '3.0/8', '4.0/4']
0.745454,0.936364,0.182535,1.31077,['22.0/28', '54.0/60', '0.0/12', '5.0/9', '1.0/1']
0.7,0.918182,0.190851,1.33863,['9.0/25', '62.0/64', '0.0/9', '2.0/5', '4.0/7']
0.663636,0.918182,0.210335,1.31025,['5.0/23', '65.0/65', '0.0/14', '3.0/5', '0.0/3']
0.690909,0.936364,0.207503,1.33993,['11.0/32', '62.0/66', '0.0/8', '0.0/1', '3.0/3']
0.690909,0.945454,0.19062,1.33671,['11.0/24', '63.0/66', '0.0/12', '0.0/5', '2.0/3']
0.772727,0.936364,0.186314,1.37737,['17.0/25', '61.0/67', '0.0/10', '5.0/6', '2.0/2']
0.654545,0.9,0.197801,1.32718,['8.0/17', '61.0/65', '0.0/21', '2.0/2', '1.0/5']
0.672727,0.945454,0.20253,1.33144,['12.0/20', '57.0/62', '0.0/18', '5.0/7', '0.0/3']
0.727273,0.954545,0.218147,1.37033,['14.0/25', '54.0/62', '3.0/10', '7.0/10', '2.0/3']
0.763636,0.945454,0.180346,1.34971,['17.0/22', '58.0/61', '0.0/15', '5.0/7', '4.0/5']
0.672727,0.890909,0.206901,1.35562,['12.0/18', '55.0/58', '0.0/20', '7.0/11', '0.0/3']
0.709091,0.927273,0.198496,1.36457,['13.0/27', '64.0/67', '0.0/9', '0.0/4', '1.0/3']
0.690909,0.936364,0.202729,1.33577,['13.0/21', '59.0/64', '0.0/18', '3.0/5', '1.0/2']
0.627273,0.9,0.222003,1.33472,['12.0/31', '57.0/61', '0.0/10', '0.0/4', '0.0/4']
0.745455,0.909091,0.184879,1.36,['24.0/26', '55.0/61', '0.0/17', '1.0/4', '2.0/2']
0.627273,0.963636,0.192557,1.35212,['19.0/25', '43.0/56', '0.0/17', '5.0/9', '2.0/3']
0.654545,0.890909,0.211235,1.35048,['25.0/27', '44.0/63', '0.0/15', '2.0/3', '1.0/2']
0.736364,0.927273,0.203089,1.32464,['14.0/23', '64.0/65', '1.0/14', '2.0/7', '0.0/1']
0.7,0.945454,0.17426,1.33755,['17.0/24', '54.0/63', '0.0/13', '4.0/8', '2.0/2']
0.754545,0.927273,0.192117,1.34179,['11.0/21', '63.0/69', '4.0/11', '4.0/5', '1.0/4']
0.763636,0.981818,0.167562,1.3198,['20.0/29', '57.0/59', '0.0/12', '4.0/6', '3.0/4']
0.645455,0.9,0.212098,1.37678,['12.0/27', '47.0/56', '4.0/13', '6.0/9', '2.0/5']
0.690909,0.936364,0.208494,1.35008,['29.0/34', '43.0/52', '4.0/13', '0.0/8', '0.0/3']
0.581818,0.918182,0.22621,1.35619,['9.0/25', '51.0/55', '0.0/21', '3.0/7', '1.0/2']
0.672727,0.936364,0.194029,1.34158,['9.0/25', '63.0/66', '0.0/13', '2.0/5', '0.0/1']
0.681818,0.927273,0.209807,1.3825,['22.0/29', '47.0/58', '0.0/14', '1.0/4', '5.0/5']
0.727273,0.9,0.189473,1.35779,['15.0/22', '52.0/62', '7.0/15', '3.0/7', '3.0/4']
0.254545,0.445455,0.337522,1.57357,['19.0/26', '1.0/64', '0.0/10', '7.0/9', '1.0/1']
0.7,0.881818,0.226436,1.41275,['21.0/25', '47.0/64', '0.0/9', '3.0/5', '6.0/7']
0.727273,0.927273,0.194655,1.31472,['10.0/20', '64.0/66', '0.0/14', '5.0/7', '1.0/3']
0.645455,0.954545,0.220168,1.31533,['8.0/31', '61.0/63', '0.0/11', '1.0/1', '1.0/4']
0.663636,0.945454,0.243369,1.33189,['5.0/21', '66.0/69', '0.0/12', '0.0/5', '2.0/3']
0.718182,0.963636,0.187559,1.33965,['6.0/25', '69.0/70', '0.0/8', '3.0/5', '1.0/2']
0.7,0.881818,0.206868,1.3378,['11.0/18', '63.0/67', '0.0/19', '2.0/2', '1.0/4']
0.709091,0.909091,0.197544,1.32979,['9.0/18', '59.0/62', '3.0/18', '6.0/9', '1.0/3']
0.7,0.927273,0.209823,1.34717,['13.0/26', '55.0/59', '3.0/12', '4.0/10', '2.0/3']
0.7,0.890909,0.213997,1.40926,['17.0/22', '46.0/60', '6.0/16', '3.0/7', '5.0/5']
0.636364,0.9,0.207689,1.39356,['16.0/19', '40.0/56', '4.0/21', '8.0/11', '2.0/3']
0.772727,0.909091,0.187483,1.32712,['24.0/26', '60.0/65', '0.0/12', '1.0/5', '0.0/2']
0.681818,0.963636,0.2015,1.31821,['13.0/20', '57.0/62', '0.0/21', '3.0/5', '2.0/2']
0.636364,0.927273,0.215511,1.31929,['7.0/29', '59.0/61', '0.0/11', '1.0/4', '3.0/5']
0.772727,0.945454,0.185075,1.34421,['15.0/24', '57.0/62', '11.0/18', '1.0/4', '1.0/2']
0.7,0.972727,0.177295,1.33287,['20.0/27', '50.0/56', '0.0/15', '5.0/9', '2.0/3']
0.6,0.927273,0.228353,1.35217,['2.0/26', '62.0/63', '0.0/16', '1.0/3', '1.0/2']
0.781818,0.945454,0.186793,1.3089,['16.0/22', '65.0/67', '2.0/13', '2.0/6', '1.0/2']
0.7,0.936364,0.175549,1.31881,['16.0/23', '55.0/64', '0.0/13', '4.0/8', '2.0/2']
0.736364,0.881818,0.208493,1.36646,['7.0/22', '62.0/70', '5.0/9', '3.0/4', '4.0/5']
0.672727,0.972727,0.178698,1.35034,['25.0/28', '40.0/59', '2.0/12', '4.0/7', '3.0/4']
0.681818,0.927273,0.202956,1.37912,['17.0/27', '44.0/56', '5.0/14', '5.0/8', '4.0/5']
0.736364,0.972727,0.195993,1.33634,['22.0/32', '53.0/55', '2.0/12', '2.0/8', '2.0/3']
0.645455,0.909091,0.197427,1.34823,['20.0/26', '43.0/53', '3.0/22', '4.0/7', '1.0/2']
0.727273,0.954545,0.18572,1.34398,['14.0/23', '65.0/67', '0.0/13', '1.0/6', '0.0/1']
0.681818,0.936364,0.202979,1.38582,['24.0/29', '43.0/56', '2.0/16', '1.0/4', '5.0/5']
0.718182,0.936364,0.188075,1.33842,['14.0/24', '59.0/61', '1.0/14', '2.0/7', '3.0/4']
0.7,0.936364,0.203473,1.29925,['8.0/26', '63.0/65', '0.0/9', '5.0/9', '1.0/1']
0.781818,0.945454,0.162422,1.30761,['20.0/27', '59.0/65', '3.0/8', '2.0/5', '2.0/5']
0.727273,0.945454,0.193891,1.27251,['8.0/21', '67.0/67', '0.0/15', '4.0/5', '1.0/2']
0.790909,0.963636,0.174134,1.32203,['24.0/32', '58.0/62', '0.0/11', '1.0/1', '4.0/4']
0.709091,0.954545,0.191243,1.32933,['12.0/21', '60.0/67', '4.0/13', '0.0/6', '2.0/3']
0.809091,0.981818,0.16118,1.31799,['13.0/26', '66.0/69', '4.0/9', '4.0/4', '2.0/2']
0.736364,0.927273,0.198009,1.32717,['16.0/20', '58.0/65', '4.0/19', '2.0/2', '1.0/4']
0.754545,0.918182,0.196156,1.34162,['12.0/19', '55.0/64', '8.0/16', '6.0/9', '2.0/2']
